product_id,title,grade,COUNT(*)
98,Ameda Purely Yours Breast Pump,want,2
98,Ameda Purely Yours Breast Pump,regret,36
98,Ameda Purely Yours Breast Pump,have,40
98,Ameda Purely Yours Breast Pump,love,39
99,Hygeia EnJoye Breast Pump,love,19
99,Hygeia EnJoye Breast Pump,have,5
99,Hygeia EnJoye Breast Pump,regret,5
99,Hygeia EnJoye Breast Pump,want,6
100,Medela Freestyle Breast Pump,,1
100,Medela Freestyle Breast Pump,have,68
100,Medela Freestyle Breast Pump,regret,8
100,Medela Freestyle Breast Pump,love,112
100,Medela Freestyle Breast Pump,want,25
101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,love,979
101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,want,393
101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,have,637
101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,regret,32
101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,,11
551,Evenflo Dual Electric Breast Pump,have,1
1610,Medela Harmony Pump,love,83
1610,Medela Harmony Pump,want,25
1610,Medela Harmony Pump,have,53
1610,Medela Harmony Pump,regret,8
1962,Medela Symphony Breast Pump,love,41
1962,Medela Symphony Breast Pump,regret,2
1962,Medela Symphony Breast Pump,have,9
1962,Medela Symphony Breast Pump,want,7
1962,Medela Symphony Breast Pump,,1
2145,Avent Isis Manual Breast Pump,love,9
2145,Avent Isis Manual Breast Pump,have,3
2145,Avent Isis Manual Breast Pump,regret,2
2280,Lansinoh Manual Breast Pump,want,1
2280,Lansinoh Manual Breast Pump,regret,1
2280,Lansinoh Manual Breast Pump,love,8
2280,Lansinoh Manual Breast Pump,have,2
2282,Lansinoh Affinity Pro Double Electric Breast Pump,want,6
2282,Lansinoh Affinity Pro Double Electric Breast Pump,love,4
2282,Lansinoh Affinity Pro Double Electric Breast Pump,have,4
2503,Playtex Petite Electric Breast Pump,love,2
3345,Dr. Brown's Double Electric Breast Pump,want,2
3696,Medela Advanced Personal Double Electric Breastpump Model #57065,have,1
3696,Medela Advanced Personal Double Electric Breastpump Model #57065,love,7
3696,Medela Advanced Personal Double Electric Breastpump Model #57065,regret,2
4896,Philips Avent Manual Comfort Breast Pump,have,1
4896,Philips Avent Manual Comfort Breast Pump,love,2
4896,Philips Avent Manual Comfort Breast Pump,regret,1
