rating ID,Product ID,title,brand,manufacturer,grade,comment,category,tag1,tag2,tag3,price,,,,
24,105,Medela Easy Expression Bustier,Medela,Medela,love,,Breastpumps,breastpump accessories,nursing bras,,,,,,
54,100,Medela Freestyle Breast Pump,Medela,Medela,love,,Breastpumps,breastpumps,,,309.9,,,,
123,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,have,,Breastpumps,breastpump accessories,,,19.99,,,,
136,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
156,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,want,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
157,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
183,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
187,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
246,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,have,,Breastpumps,breastpump accessories,,,19.99,,,,
260,105,Medela Easy Expression Bustier,Medela,Medela,love,"Not sure I would have survived the boredom of pumping without this busiter.  I didn't know if I should buy it, until after the first day my son refused to breastfeed and I had to pump all day.  At least while wearing this, you can have your hands free to do other things.  Without it, you're stuck holding the bottles.",Breastpumps,breastpump accessories,nursing bras,,,,,,
279,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
291,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
310,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
322,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,,Nursing,milk storage,,,17.24,,,,
350,100,Medela Freestyle Breast Pump,Medela,Medela,have,,Breastpumps,breastpumps,,,309.9,,,,
434,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
443,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,have,,Breastpumps,breastpump accessories,,,19.99,,,,
472,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
532,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
547,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,,Nursing,milk storage,,,17.24,,,,
579,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
588,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
