rating ID,Product ID,title,brand,manufacturer,grade,comment,category,tag1,tag2,tag3,price,,
1315,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,,Breastpumps,breastpumps,,,158.99,,
1741,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,awesome pump! so much quieter than others. lactation consultant had recommended and i'm glad i went with it!,Breastpumps,breastpumps,,,158.99,,
3718,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
3895,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
5746,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,,Breastpumps,breastpumps,,,158.99,,
6593,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,,Breastpumps,breastpumps,,,158.99,,
7672,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,,Breastpumps,breastpumps,,,158.99,,
8775,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,,Breastpumps,breastpumps,,,158.99,,
13662,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,,Breastpumps,breastpumps,,,158.99,,
14335,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,,Breastpumps,breastpumps,,,158.99,,
16632,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,want,Heard great things from Billie.  Will order from insurance when baby comes.,Breastpumps,breastpumps,,,158.99,,
17418,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,I had problems using this as a double pump. I ended up being much happier with the Medela Freestyle.,Breastpumps,breastpumps,,,158.99,,
17710,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,Good for second time moms who have breastfed before or for the mom with an established milk supply...Not great for new moms trying to build/maintain their supply.,Breastpumps,breastpumps,,,158.99,,
25653,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,,Breastpumps,breastpumps,,,158.99,,
26213,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,,Breastpumps,breastpumps,,,158.99,,
27605,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,,Breastpumps,breastpumps,,,158.99,,
29555,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,Great pump. The valves last and last unlike other makers. ,Breastpumps,breastpumps,,,158.99,,
29747,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,,Breastpumps,breastpumps,,,158.99,,
29811,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,Suction not very good when used as a double pump. ,Breastpumps,breastpumps,,,158.99,,
30104,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
30237,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,,Breastpumps,breastpumps,,,158.99,,
36536,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"Great pump! Only used it a handful of times, but it works great and was reasonable, though my insurance paid for mine - hoorah!",Breastpumps,breastpumps,,,158.99,,
38413,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
38868,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"works great!  you can't be mobile, but i didn't know those options were even out there.  it works great for me.",Breastpumps,breastpumps,,,158.99,,
41307,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,I bought one of these used and found it very easy to use. Double electric is the way to go!,Breastpumps,breastpumps,,,158.99,,
42299,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,,Breastpumps,breastpumps,,,158.99,,
48344,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,I really liked this until the plastic broke and I had to buy a new one. Now it doesn't fit very well. ,Breastpumps,breastpumps,,,158.99,,
48788,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"Worked for me throughout my breastfeeding period.  I chose this because I was insistent upon have a closed system pump which in my opinion is better because it prevents mold, leakage and motor burnout",Breastpumps,breastpumps,,,158.99,,
50441,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"Held up through two kids, pumping a few times a day.",Breastpumps,breastpumps,,,158.99,,
50587,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,The bane of my freeking existence. ,Breastpumps,breastpumps,,,158.99,,
50664,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,Free with insurance. Works great,Breastpumps,breastpumps,,,158.99,,
53565,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
54265,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,"It just doesn't work for me, the diaphram is always stuck",Breastpumps,breastpumps,,,158.99,,
54992,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
57963,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,Not enough suction. ,Breastpumps,breastpumps,,,158.99,,
58333,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,"Suction is not nearly as strong as a Medela. Flanges seem to hurt more than others. Silicone diaphragms seem to give out fairly easily. Suction mechanic broke once (BUT, great customer service)",Breastpumps,breastpumps,,,158.99,,
58662,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,I LOVE my Ameda pump (more than my 2 Medela pumps).... but it broke after using it for about 2 months.  I was able to beg Babies R US to let me get a new one. I pump about 1-2 ounces more w/ the Ameda,Breastpumps,breastpumps,,,158.99,,
59414,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,"I went through two of these. I tried to go with the cheaper pump and it broke on me. In the end, I went and bought a medela.",Breastpumps,breastpumps,,,158.99,,
60315,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,Small easy to travel with and worked better than the Medela Tote in my opinion.,Breastpumps,breastpumps,,,158.99,,
61768,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"This is the one I got from my insurance company, so it's the one I'm using. It's small and works well. It's not super quiet, but quiet enough for me. Also no milk goes into the tubing = cleaner.",Breastpumps,breastpumps,,,158.99,,
63789,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"Closed system, so no liquid gets into tubing. Way more sanitary and easier to clean than Medela.  More affordable.",Breastpumps,breastpumps,,,158.99,,
64954,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"Tiny, light and powerful. I pumped enough to feed twins easily.",Breastpumps,breastpumps,,,158.99,,
65561,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,"I used this nonstop for two years, and for the most part it worked great. The motor went out twice. Maybe cause I threw the bag around a lot. Excellent customer service; they replaced it promptly 2x.",Breastpumps,breastpumps,,,158.99,,
67689,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,It works great and is small! Got it trough my insurance co. Easy to clean.,Breastpumps,breastpumps,,,158.99,,
67943,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
69506,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,Received for free from insurance.  I don't have anything to compare it to but it works great so far!!,Breastpumps,breastpumps,,,158.99,,
71056,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,want,,Breastpumps,breastpumps,,,158.99,,
72335,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,"Got this for free from my insurance. It has terrible suction, is loud and cumbersome to use. Had to get the Medela anyway.",Breastpumps,breastpumps,,,158.99,,
73490,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"Wonderful. Compact and reasonably quiet. Works well. Love that the milk does not actually go through the tubes, makes cleaning MUCH easier. ",Breastpumps,breastpumps,,,158.99,,
74309,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,"Loved this b/c it worked well for me and was cheaper than many other brands.  The hospital told us it was more sanitary than others.  The beeping is annoying, but it made it through 2 kids @ 11mo each",Breastpumps,breastpumps,,,158.99,,
76142,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,"My insurance paid for this and after several tries, I can't express any milk at all with it. I get 15+ oz with my Avent pump. ",Breastpumps,breastpumps,,,158.99,,
76219,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,"This is the pump my insurance covered, it was incomfortable to use, and the motor started stuttering within 2 days of use. Got the medela and never looked back. ",Breastpumps,breastpumps,,,158.99,,
76487,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
77530,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,"It's what the insurance company covered. It's not the best, but it's not the worst. All pumping takes practice and patience! Small dials and too many parts to wash. Effective pump.",Breastpumps,breastpumps,,,158.99,,
77685,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,"I received this pump from my insurance company, and was very disappointed by the suction power, fit and ease of use.  The two dials for suction and speed are hard to use when pumping. ",Breastpumps,breastpumps,,,158.99,,
82545,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
84155,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
86247,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"Look up closed system vs open system breast pump! I got this one bc I knew no milk could get into the tubing, unlike medela. Super happy with it",Breastpumps,breastpumps,,,158.99,,
86629,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,Got this free from insurance - not enough suction so bought Medela Pump in Style out of pocket and haven't looked back,Breastpumps,breastpumps,,,158.99,,
87451,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,"Honestly, it should be renamed \Purely Crap.\"" I exclusively pump"," and the motor on this model was already starting to strain before I had for 1 week. """,Breastpumps,breastpumps,,,158.99,
87906,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,This is what my insurance sent me. Like that the tubing is sterile. But the motor tends to poop out on me... Not the most reliable as pumps go but am too lazy/cheap to get another one. ,Breastpumps,breastpumps,,,158.99,,
91160,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,LOVE LOVE LOVE it! Wouldn't trade it for the world.  3 years later its still going strong.  I love the closed system which means no milk in the tubes! ,Breastpumps,breastpumps,,,158.99,,
91578,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,Used this for my first born and loved it.  Very comfortable and I was able to get a lot of milk from it.,Breastpumps,breastpumps,,,158.99,,
93373,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"The price was right! I rarely pump. I had a Medela single electric pump with my first and it would take 45+ minutes to pump. With the Ameda double, I'm done in 10! Easier to clean too.",Breastpumps,breastpumps,,,158.99,,
94334,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,Absolutely love this pump - it is much lighter and easily portable than the medala and easier to clean. ,Breastpumps,breastpumps,,,158.99,,
95484,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
95979,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,I rarely pumped but when I did this little guy had some great sucking action going on. I bought the dual pump more for the strength of the motor than for need of two pumps.,Breastpumps,breastpumps,,,158.99,,
97233,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,Still working out the kinks with using this.,Breastpumps,breastpumps,,,158.99,,
100325,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,Takes forever unless my breast is extremely engorged!,Breastpumps,breastpumps,,,158.99,,
100760,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,Got for free from insurance provider. Waste of money. Medela worked much better for me!,Breastpumps,breastpumps,,,158.99,,
101451,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
103663,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,While the picture show is not the item I love the item that the headline says. Couldn't live without it!,Breastpumps,breastpumps,,,158.99,,
104422,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,"Got mine through insurance, the suction was not great, lots of parts to get lost in a travel bag. Bought the Medea and have been very happy since. ",Breastpumps,breastpumps,,,158.99,,
106136,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,I got this from my insurance and it totally lacked power.  Medela Pump in Style was MUCH better.,Breastpumps,breastpumps,,,158.99,,
107872,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"It is a little loud.  However, it is travel friendly affordable, and works.  ",Breastpumps,breastpumps,,,158.99,,
109610,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,Pump works great. I wish it were a little quieter. Worked even better when I paired it hands free pumping bra.,Breastpumps,breastpumps,,,158.99,,
109713,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,"I like the flange set up, that's about it. Low power. Disappointing. My insurance co sent this instead of medela that I'd asked for :(",Breastpumps,breastpumps,,,158.99,,
109936,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
111353,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,Received this pump free from our insurance company but haven't used it just yet.,Breastpumps,breastpumps,,,158.99,,
111790,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
111987,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"amazing pump, easy to use, Lactation Consultant and Doula recommended ",Breastpumps,breastpumps,,,158.99,,
113422,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
114586,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,"Got a lot of use for 12 months, seemed to wear out by the end.  Noisy and parts inside moved around more, lost some suction. Great while it lasted though.",Breastpumps,breastpumps,,,158.99,,
115524,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,"It's what came free from insurance. I had a Medela pump at the hospital that I liked better, but this does just fine. It's not as powerful so I do a combo of hand expressing, massage, and pumping.",Breastpumps,breastpumps,,,158.99,,
117253,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
118105,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,"This pump works well, but I prefer to use the Ameda hand pump. It's less of a hassle. ",Breastpumps,breastpumps,,,158.99,,
119246,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
121566,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,"This is the pump my insurance gave me and I hate it.  If you have a choice, look elsewhere.  ",Breastpumps,breastpumps,,,158.99,,
121576,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,Does the job,Breastpumps,breastpumps,,,158.99,,
123787,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,This pump got me though a total of 18 months pumping at work.  A real workhorse!,Breastpumps,breastpumps,,,158.99,,
125842,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"I used the medela in the hospital and this was just as good, and I used my ameda for almost a year.  Loved it!",Breastpumps,breastpumps,,,158.99,,
126434,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,This was the pump I chose to get through my insurance company.  I picked it because of the option to use batteries.  It absolutely pales in comparison to the Medela double electric I have.  Don't like,Breastpumps,breastpumps,,,158.99,,
126462,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,  ,Breastpumps,breastpumps,,,158.99,,
130899,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
133428,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"Only pump I've used but really like it.
Use it 3 times a day and have been for many months.
Easy to clean.",Breastpumps,breastpumps,,,158.99,,
134003,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"This pump is great. Easy to clean, easy to use. A little loud but that's really the only downside. ",Breastpumps,breastpumps,,,158.99,,
135279,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
135402,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,I'd rather have Medela but this was free from my insurance.,Breastpumps,breastpumps,,,158.99,,
137408,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,
138112,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,"this was covered through my insurance company, so it is the pump i went with.  fingers crossed it works well!",Breastpumps,breastpumps,,,158.99,,
138413,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"Works well, easy to use, lots of adjustment to maximize output ",Breastpumps,breastpumps,,,158.99,,
138628,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,The suction was terrible and didn't work for me.,Breastpumps,breastpumps,,,158.99,,
139956,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,"Easy to use, and I was able to connect it to my hands-free pumping bra as well. One issue: one side seemed to pump stronger than the other.",Breastpumps,breastpumps,,,158.99,,
141193,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,"This pump is terrible. It has the worst suction (despite great customer service), it would take me 40 minutes to get 2 oz. out, where the Symphony (rented) gets me 4-6 oz. in less than 10. Hated it.",Breastpumps,breastpumps,,,158.99,,
141197,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,Worked well double pumping for a month but it seems the suction isn't as strong even after replacing parts and terrible if only pumping 1 side.  It's much noisier than the hospital grade Medela pumps.,Breastpumps,breastpumps,,,158.99,,
