word1,word2,word3,freq,category
feel, like, I,9,
I, would, love,54,IWOULDLOVE
hands, free, bra,37,HANDSFREEBRA
I, would, like,28,IWOULDLOVE
I, m, sure,25,
It, would, great,23,IWOULDLOVE
hands, free, pumping,20,HANDSFREEBRA
It, would, nice,19,IWOULDLOVE
hospital, grade, pump,18,HOSPITALGRADEPUMP
http, ://, www,18,
I, could, pump,17,
I, m, pumping,15,
pump, hands, free,15,HANDSFREEBRA
like, baby, mouth,15,LIKEBABYSMOUTH
I, feel, like,14,
I, wish, I,14,IWOULDLOVE
I, d, love,14,IWOULDLOVE
It, would, also,12,IWOULDLOVE
I, ‰Ûª, m,12,
Ameda, Purely, Yours,11,
wish, I, could,11,IWOULDLOVE
I, d, like,11,IWOULDLOVE
I, would, also,10,IWOULDLOVE
I, went, back,10,BACKTOWORK
Medela, Pump, Style,10,
The, breast, pump,10,
hands, free, without,10,HANDSFREEBRA
I, pump, I,9,
I, think, would,9,
I, ve, pumped,9,
medela, pump, style,9,
Pump, In, Style,9,
would, love, able,9,IWOULDLOVE
I, think, I,9,
went, back, work,9,BACKTOWORK
breast, pump, I,9,
pumping, It, would,9,IWOULDLOVE
free, pumping, bra,8,HANDSFREEBRA
The, pump, needs,8,
I, want, pump,8,IWOULDLOVE
parts, easy, clean,8,PARTSEASYCLEAN
Hi, I, m,8,
If, I, could,8,IWOULDLOVE
I, ve, used,8,
A, breast, pump,8,
hands, free, bras,8,HANDSFREEBRA
I, ‰Ûª, ve,7,
As, working, mom,7,BACKTOWORK
It, would, awesome,7,IWOULDLOVE
hospital, grade, pumps,7,HOSPITALGRADEPUMP
like, I, m,7,
amount, milk, pumped,7,AMOUNTMILKPUMPED
many, times, I,7,
I, exclusively, pumped,7,
I, could, use,7,IWOULDLOVE
I, Medela, Pump,7,
I, would, able,7,IWOULDLOVE
breast, pump, bag,7,DIRECTLYSTORAGEBAGS
pump, I, m,7,
would, great, pump,7,IWOULDLOVE
every, time, I,7,
Medela, Pump, In,7,
make, breast, pump,6,
better, breast, pump,6,IWOULDLOVE
I, used, Medela,6,
pump, one, side,6,
know, I, m,6,
I, m, trying,6,
I, need, pump,6,
time, I, pump,6,TIMEIPUMP
I, love, idea,6,
breast, shields, flanges,6,THEHARDPLASTIC
I, d, also,6,
multiple, times, day,6,TIMEIPUMP
I, use, Medela,6,
I, m, still,6,
times, per, day,6,TIMEIPUMP
free, bra, I,6,HANDSFREEBRA
great, pump, could,6,IWOULDLOVE
Pump, Not, Suck,6,TITLE
hands, free, pump,6,HANDSFREEBRA
directly, storage, bags,6,DIRECTLYSTORAGEBAGS
Paced, bottle, feeding,6,
I, needed, pump,6,
Breast, Pump, Not,6,
pumping, bra, I,6,HANDSFREEBRA
double, electric, pump,6,
would, love, pump,6,IWOULDLOVE
would, awesome, I,6,IWOULDLOVE
pump, would, great,6,IWOULDLOVE
working, mom, I,6,BACKTOWORK
hands, free, I,6,HANDSFREEBRA
Make, Breast, Pump,6,
I, could, wear,6,
breast, pump, hackathon,5,
It, would, amazing,5,IWOULDLOVE
Good, luck, I,5,
work, I, m,5,
I, know, I,5,
would, amazing, I,5,IWOULDLOVE
full, time, working,5,BACKTOWORK
able, lean, back,5,ABLELEANBACK
‰Ûª, wait, see,5,
would, nice, pump,5,IWOULDLOVE
Find, way, make,5,IWOULDLOVE
would, like, see,5,IWOULDLOVE
I, thought, I,5,
I, pump, twice,5,TIMEIPUMP
d, love, see,5,IWOULDLOVE
The, hard, plastic,5,THEHARDPLASTIC
I, m, mom,5,
I, m, really,5,
makes, feel, like,5,MAKESMEFEEL
I, ve, tried,5,
Being, able, pump,5,
would, also, love,5,IWOULDLOVE
I, exclusively, pump,5,
would, nice, option,5,IWOULDLOVE
I, hope, guys,5,
every, two, hours,5,TIMEIPUMP
I, know, would,5,
://, www, pumpinpal,5,
would, also, nice,5,IWOULDLOVE
d, like, see,5,IWOULDLOVE
I, lean, forward,5,ABLELEANBACK
would, love, see,5,IWOULDLOVE
pumping, mom, I,5,
able, pump, lying,5,ABLELEANBACK
www, pumpinpal, com,5,
Fewer, parts, clean,5,PARTSEASYCLEAN
pump, It, would,5,IWOULDLOVE
would, great, I,5,IWOULDLOVE
Thanks, Hi, I,5,
month, old, I,5,
I, ve, heard,5,
able, pump, laying,5,ABLELEANBACK
every,2, hours,5,TIMEIPUMP
using, breast, pump,5,
work, every, day,5,BACKTOWORK
pump, I, would,4,
I, ve, found,4,
15,20, minutes,4,TIMEIPUMP
I, returned, work,4,BACKTOWORK
time, I, pumped,4,TIMEIPUMP
milk, I, m,4,
would, love, breast,4,IWOULDLOVE
I, hate, pumping,4,
pumping, I, m,4,
Hospital, grade, pumps,4,HOSPITALGRADEPUMP
breast, pump, could,4,IWOULDLOVE
I, used, Ameda,4,
longer, battery, life,4,LONGERBATTERYLIFE
many, parts, clean,4,PARTSEASYCLEAN
tell, many, times,4,
would, nice, I,4,IWOULDLOVE
hands, free, options,4,HANDSFREEBRA
awesome, pumps, could,4,IWOULDLOVE
I, currently, use,4,
I, read, article,4,
parts, easier, clean,4,PARTSEASYCLEAN
would, great, able,4,IWOULDLOVE
d, also, like,4,IWOULDLOVE
instead, hard, plastic,4,THEHARDPLASTIC
2,3, hours,4,
Please, design, pump,4,IWOULDLOVE
I, m, thinking,4,
luck, I, hope,4,
like, breast, pump,4,
I, would, pump,4,
would, much, better,4,IWOULDLOVE
would, nice, able,4,IWOULDLOVE
would, huge, help,4,IWOULDLOVE
bottle, Paced, bottle,4,
wait, see, come,4,
love, able, pump,4,IWOULDLOVE
I, wait, see,4,
I, look, forward,4,
clean, pump, parts,4,PARTSEASYCLEAN
