user,date,idea
1410632894,2014-09-13 14:28:14,"[""Easy to clean - there are a lot of little pieces to clean & dry - when I'm trying to use it often this becomes cumbersome & increases the time needed for the whole process. Plus there are a lot of small pieces to loose. ""]"
1410635602,2014-09-13 15:13:22,"['I see the ""breast pump"" as having three separate pieces. There\'s the pump itself, the storage collection, and the extraction section. \r\n', '\r\n', ""The extraction section includes the nursing bra, hands-free bra, flanges, flappers, breast pads, and so on, all of which need to be cleaned individually, and often sterilized or thrown into the laundry. I have enough dishes and laundry to do. It takes me four minutes to set up and another four to break down, costing almost a half hour per day in time without factoring in the actual pumping. This doesn't make being a working mom any easier, especially when you need to leave the office at 4:30 p.m. to make a 5:15 pickup time at daycare.\r\n"", '\r\n', ""I would like to see this all get melded into one piece that you can wear all day (or at least easily take on and off). I want to take the whole rig and throw it into a dishwasher (or dedicated sterilizing device) each day. There should be one place to plug into the pump and one place to plug in a bag or bottle for collection. That's it.\r\n"", '\r\n', 'I have a ticket to the hackathon, and I hope to make it. Thanks, Liz']"
1410636758,2014-09-13 15:32:38,"['I found your event through a breastfeeding support group that I belong to on Facebook.\xc2\xa0 I HATE pumping,\xc2\xa0 and I am interested to see what designs your team is able to come up with.\xc2\xa0\r\n', '\r\n', 'I have an 11 month old son named Charlie. He has never had a drop of formula in his life. I am fortunate that I can stay at home with him,\xc2\xa0 But there are times when I have to be away so I do have a small stash of breastmilk in the freezer.\xc2\xa0\r\n', '\r\n', ""I would love to have a large enough stash that I could donate milk through my local milk bank to mothers who are unable to nurse but here's the thing;\xc2\xa0 I hate my pump.\xc2\xa0 No,\xc2\xa0 seriously. . .I hate it. It sucks.\xc2\xa0\r\n"", '\r\n', ""I have a Medela Pump in Style double electric pump.\xc2\xa0 It's a popular brand,\xc2\xa0 and though expensive (I think mine was $300.00) it was covered by my health insurance (Thanks,\xc2\xa0 Obama!) The pump is contained in a black tote bag that is supposed to conceal that you are lugging around what is, in essence,\xc2\xa0 a miniature milking machine.\xc2\xa0\r\n"", '\r\n', ""So let's break it down.\xc2\xa0 Here's what I like about my pump:\r\n"", '1) I like the little mini cooler and ice pack that was included with the pump\r\n', ""2) um, that's about it.\r\n"", '\r\n', ""Here's what I do not like about my pump:\r\n"", ""1) Although it's nice that the pump is self-contained in a tote bag, it's bulky and heavy.\xc2\xa0 Also, the straps don't have enough of a fall. . .I am a larger woman and I don't feel comfortable carrying it around on my shoulder for long.\r\n"", '\r\n', '2) My pump only came with one size of flange.\xc2\xa0 Luckily,\xc2\xa0 they worked for me but I know plenty of women who had to spend even more money for different flanges.\xc2\xa0 Some of them needed two different sizes!\xc2\xa0 Flanges should be adjustable or made of a more form fitting material (more like silicone instead of hard plastic).\r\n', '\r\n', '3)The pump does not suck hard enough.\xc2\xa0 I know it\'s supposed to imitate my baby by sucking fast at first and then slowing down,\xc2\xa0 but I have to keep hitting the ""letdown"" button the whole time because it\'s only in this mode that I can get any milk.\xc2\xa0\r\n', '\r\n', '4) The pump tubes and the power cord are too short. \r\n', '\r\n', ""5) There's no car charger.\xc2\xa0 Most of the time,\xc2\xa0 I pump in my car just before going into whatever party our event we are attending.\r\n"", '\r\n', '6) the battery pack is nice. .. but the suction is even weaker than the wall plug and it takes a TON of batteries.\xc2\xa0 This should be rechargeable.\r\n', '\r\n', '7) everything sticks off my chest by a good 6 inches.\xc2\xa0 I just feel that it calls attention (""HEY! CHECK ME OUT! I\'M MILKING MYSELF!"").\r\n', '\r\n', '8) I would LOVE it if the pump were wireless.  If I could somehow put my son in his Onya baby carrier and pump the other side that would be fantastic. \r\n', '\r\n', '9) I would really like to not have to hunch over to pump.  It would be nice to be able to lay down to pump.  \r\n', '\r\n', ""10) All pumps should be closed systems so that we can pass them on to other moms safely.  We're told not to use someone else's pump. .. But what good is that?  We are going to have a lot of pumps sitting in city dumps.  Lots of Mommas re-use their friends pumps anyways,  despite the risk. \r\n"", '\r\n', ""11) There's a product on the market called Milk Savers.  They fit in your bra abd catch milk that leaks from the breast you are not feeding from.  Could this design be utilized when designing a new flange?  Just a possibility...\r\n"", '\r\n', '\r\n']"
1410637874,2014-09-13 15:51:14,"[""A baby is twice as effective at removing milk from the breast than a pump is. Please take as much inspiration from a nursing baby's mouth, jaw and technique as possible. \r\n"", '\r\n', 'Even expensive pumps are uncomfortable and less effective than they should be. Your efforts are hugely appreciated!']"
1410638059,2014-09-13 15:54:19,"['reusable ""soft bottles"" for milk collection like a platapus water bottle or colostomy bag.']"
1410638085,2014-09-13 15:54:45,"[""Flexible cups that can fit under clothing so you don't need to leave what you're doing. Also make them bigger to cover the breast and have massage capability. Even though I used a great hands free bra, I had to spend most of the pump squeezing my breasts together so the milk came out more.\r\n""]"
1410638265,2014-09-13 15:57:45,"[""A pump that doesn't make any noise. So the person in the office next door doesn't know I'm pumping ;-)\r\n"", '\r\n', ""A hands- free bra that doesn't require me to take my shirt off. \r\n"", '\r\n', 'Any device that allows user to be hands free without removing button down shirt \r\n']"
1410638373,2014-09-13 15:59:33,['2 diaphrams (like Medela Symphony or Freestyle). Ideally these diaphrams could be controlled independently to set a different speed and pressure for each breast.']
1410639038,2014-09-13 16:10:38,"['For me, the overall concept for a breast pump should be less ""milking cow"" and more ""nursing mother.""  To me, this means flanges that are more ""mouth like""- made of a different material and mimicking the movement of a baby\'s mouth.  A unit that is smaller, quieter, and less obtrusive- in an ideal world the motor would be the size of an ipod and could attach to a mother\'s clothes allowing her to be truly mobile.  It could  even be a ""smart device"" that would include a timer, a way to track output, and any number of different statistics (baby\'s input, weight, sleep patterns, etc.).  Maybe it could ""upload"" to an app that would track these things on a smart device.  Also, it would changes diapers, feed the baby, and fold laundry.  Thank you!']"
1410639044,2014-09-13 16:10:44,"['personalized breast shields that could be printed out on a 3rd printer while you wait. Some variables: size of breasts, density of tissue (flabby or fibrous), size of nipple, preference for soft shields or padding or hard plastic.']"
